Subject,Subset,Trial,Assistance,Training,ergodicity,error,successtime,tts
4,7,5,0,1,0.84342899999999998,0.65785700000000003,0.0,30.008333
4,1,5,1,1,0.31401099999999998,0.50180000000000002,2.9333330000000002,5.7249999999999996
4,8,1,0,1,0.82077900000000004,0.67159500000000005,0.0,30.008333
4,2,1,1,1,0.338889,0.512961,4.75,9.9583329999999997
4,8,2,0,1,0.57412700000000005,0.58934799999999998,0.23333300000000001,6.5750000000000002
4,2,2,1,1,0.35527199999999998,0.51805000000000001,1.8999999999999999,9.1750000000000007
4,8,3,0,1,0.56244300000000003,0.57731600000000005,1.3333330000000001,3.5249999999999999
4,2,3,1,1,0.392897,0.56942999999999999,2.9166669999999999,15.291667
4,8,4,0,1,0.92091999999999996,0.69395200000000001,0.0,30.008333
4,2,4,1,1,0.34548099999999998,0.51269200000000004,3.2999999999999998,12.791667
4,8,5,0,1,0.67326900000000001,0.62080800000000003,0.73333300000000001,21.191668
4,2,5,1,1,0.64828699999999995,0.67689299999999997,0.90000000000000002,24.174999
4,9,1,0,1,0.91802099999999998,0.71024900000000002,0.0,30.008333
4,3,1,1,1,0.44489800000000002,0.56617399999999996,2.8666670000000001,17.508333
4,9,2,0,1,0.82852999999999999,0.66717899999999997,0.0,30.008333
4,3,2,1,1,0.64434000000000002,0.690307,1.516667,17.291665999999999
4,9,3,0,1,0.85445199999999999,0.67177600000000004,0.216667,27.058332
4,3,3,1,1,0.41695599999999999,0.568083,2.2166670000000002,17.308332
4,9,4,0,1,0.78502799999999995,0.66594799999999998,0.0,30.008333
4,3,4,1,1,0.288414,0.49833100000000002,4.0833329999999997,7.7750000000000004
4,9,5,0,1,0.74581699999999995,0.64312499999999995,0.0,30.008333
4,3,5,1,1,0.40787299999999999,0.57240500000000005,2.7833329999999998,10.225
4,10,1,0,1,0.68209799999999998,0.61465000000000003,0.0,30.008333
4,4,1,1,1,0.62633300000000003,0.65773499999999996,2.8166669999999998,22.924999
4,10,2,0,1,0.65316399999999997,0.60546699999999998,0.20000000000000001,15.324999999999999
4,4,2,1,1,0.82316199999999995,0.74799199999999999,0.75,21.358333999999999
4,10,3,0,1,0.84093099999999998,0.66643600000000003,0.0,30.008333
4,4,3,1,1,0.78249999999999997,0.69965299999999997,0.0,30.008333
4,10,4,0,1,0.582955,0.59129399999999999,0.51666699999999999,11.591666
4,4,4,1,1,0.94952700000000001,0.70547099999999996,0.0,30.008333
4,10,5,0,1,0.636714,0.614815,0.0,30.008333
4,4,5,1,1,0.34894999999999998,0.52441000000000004,3.6000000000000001,11.675000000000001
4,11,1,0,1,0.80682299999999996,0.66069,0.0,30.008333
4,5,1,1,1,0.35530899999999999,0.51216799999999996,2.2999999999999998,6.9249999999999998
4,11,2,0,1,0.70216900000000004,0.63266500000000003,0.0,30.008333
4,5,2,1,1,0.39244800000000002,0.56123000000000001,4.4500000000000002,7.7750000000000004
4,11,3,0,1,0.71453,0.62502199999999997,0.0,30.008333
4,5,3,1,1,0.62338099999999996,0.64717199999999997,1.3500000000000001,18.524999999999999
4,11,4,0,1,0.99634999999999996,0.726773,0.0,30.008333
4,5,4,1,1,0.33542300000000003,0.54089699999999996,3.733333,9.5250000000000004
4,11,5,0,1,0.73771600000000004,0.64284200000000002,0.23333300000000001,21.575001
